-764|122.41
205|474.81
-87|594.43
-758|-281.80
310|205.00
26|687.98
265|399.80
-920|-596.95
150|825.96
-723|45.69
-321|-160.41
297|206.28
-366|-924.29
382|951.99
-723|690.63
76|443.63
437|993.22
509|-770.91
-376|172.86
933|-717.65
385|-239.19
932|-98.01
-472|-231.48
-209|-96.30
-394|-240.98
249|-180.33
-397|-457.05
-273|-714.75
667|800.93
770|19.06
373|-196.65
-184|889.54
263|-613.03
-572|-162.69
454|-573.21
324|971.40
683|711.22
583|55.82
-925|626.62
-28|747.47
-640|-431.60
-435|-196.21
-174|-70.85
881|324.68
70|999.56
-354|630.10
939|472.45
-64|-993.82
-372|-155.74
-373|82.40
